Zone,SFD,SFA,MF234,MF5plus,MH,DevCapacity,DevLandUse
362,1,1,1,1,1,157.43094,76.50188427
363,1,1,1,1,1,84.57529,6032.527846
364,1,1,1,1,1,108.43095,549.2099353
365,1,1,1,1,1,198.14644,1848.528296
366,1,1,1,1,1,212.57529,45.60783279
367,1,1,1,1,1,239.5727,2998.737689
368,1,1,1,1,1,70.85878,295.147835
369,1,1,1,1,1,4,349.4652125
370,1,1,1,1,1,312,205.4300665
371,1,1,1,1,1,152,554.3666802
372,1,1,1,1,1,0,3796.052144
373,1,1,1,1,1,270.57217,1221.219326
374,1,1,1,1,1,57.858257,1258.330685
375,1,1,1,1,1,276.7176,4618.065735
376,1,1,1,1,1,95,5763.381397
377,1,1,1,1,1,79,1223.994801
378,1,1,1,1,1,101,460.2741719
379,1,1,1,1,1,105.287125,80.36340372
380,1,1,1,1,1,281.43408,4797.098857
381,1,1,1,1,1,87.43043,371.8828469
382,1,1,1,1,1,17,3038.825475
384,1,1,1,1,1,271.29803,1727.606324
385,1,1,1,1,1,232.00676,4192.730431
386,1,1,1,1,1,21,4124.724215
387,1,1,1,1,1,211,7587.167451
388,1,1,1,1,1,267.57477,521.0592223
389,1,1,1,1,1,101.14746,497.7274752
390,1,1,1,1,1,13,4747.292486
391,1,1,1,1,1,81.1433,93.59308282
392,1,1,1,1,1,913.1797,2990.343287
393,1,1,1,1,1,504.55685,59.05789214
394,1,1,1,1,1,285.2493,147.6587608
395,1,1,1,1,1,33,75.98118405
396,1,1,1,1,1,156,3768.219508
397,1,1,1,1,1,78,553.3193517
399,1,1,1,1,1,71,766.8032185
400,1,1,1,1,1,57,1696.501124
401,1,1,1,1,1,69,124.0591451
402,1,1,1,1,1,8,12727.36463
403,1,1,1,1,1,84,43.7170037
404,1,1,1,1,1,37,512.1490777
405,1,1,1,1,1,50.571648,972.6593297
406,1,1,1,1,1,93.79494,427.1136896
407,1,1,1,1,1,81,6757.034585
408,1,1,1,1,1,200.74255,446.5175763
409,1,1,1,1,1,297,4794.183607
410,1,1,1,1,1,0,2236.482455
411,1,1,1,1,1,942.9389,5240.255502
412,1,1,1,1,1,902.3301,77.32235941
413,1,1,1,1,1,531.1333,62.57742984
414,1,1,1,1,1,937.7798,71.77287092
415,1,1,1,1,1,519.3411,50.82763721
416,1,1,1,1,1,667.4345,9733.675284
417,1,1,1,1,1,405.20108,82.31317526
418,1,1,1,1,1,375.47083,105.9528014
419,1,1,1,1,1,674.06384,7517.722128
421,1,1,1,1,1,640.42084,64.11250981
422,1,1,1,1,1,373.57794,21.94660994
423,1,1,1,1,1,583.2759,4278.266122
424,1,1,1,1,1,454.31116,2773.431024
425,1,1,1,1,1,668.98096,1649.140203
426,1,1,1,1,1,340.12677,2408.748952
427,1,1,1,1,1,520.7976,2224.423961
428,1,1,1,1,1,187.62796,336.246765
429,1,1,1,1,1,251.74359,28.64516858
430,1,1,1,1,1,628.2188,6157.329109
431,1,1,1,1,1,290.27924,51.49988568
432,1,1,1,1,1,258.9527,99.73430591
433,1,1,1,1,1,576.66547,1526.238341
434,1,1,1,1,1,429.84174,456.8265471
435,1,1,1,1,1,530.5732,3238.211912
436,1,1,1,1,1,949.4595,1253.793792
437,1,1,1,1,1,183.73534,2941.065224
438,1,1,1,1,1,720.9871,1635.974945
439,1,1,1,1,1,756.7403,2645.100803
440,1,1,1,1,1,405.14914,1412.110595
441,1,1,1,1,1,519.7452,508.944696
442,1,1,1,1,1,889.2823,3539.950151
443,1,1,1,1,1,198.75682,5617.167101
444,1,1,1,1,1,433.89886,1669.906757
445,1,1,1,1,1,175.01456,6499.376279
446,1,1,1,1,1,250.97414,4238.621492
447,1,1,1,1,1,224.77182,2544.808102
448,1,1,1,1,1,713.0319,2729.009392
449,1,1,1,1,1,264.7334,5728.505064
450,1,1,1,1,1,540.48486,6817.000746
451,1,1,1,1,1,561.0362,230.1029538
452,1,1,1,1,1,234.048,1107.651255
453,1,1,1,1,1,357.66846,3385.177124
454,1,1,1,1,1,196.06816,321.2473535
455,1,1,1,1,1,544.25,2133.369636
